"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2019-09-28","80.6",-1.7105007155304,6.80705200667826,"Justin Verlander",592230,434378,"null","ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",1,2,2019,0.620399154467132,-1.11108908622044,1.38266001189741,0.969465540818561,"null","null","null",0,5,"Bot","null","null",,,"455139",,"190929_023034",5.5768919768597,-116.893795764523,-4.14275981114006,4.28054209740518,22.67563956841,-41.2826857669876,3.3,1.62,"null","null","null",78,"2916",4.7,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.8085124987762,"null","null","null","null","null","null","null",36,"5","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.4",-1.61807248701848,7.00866765066234,"Justin Verlander",592230,434378,"null","foul",,,,,6,"null","R","L","R","LAA","HOU","S","null","null",1,2,2019,0.20862793168332,0.784072430474636,0.397675312149377,2.72981774752075,"null","null","null",0,5,"Bot","null","null",,,"455139",,"190929_023003",4.39609832371803,-127.130616831835,-5.7496644974211,1.42561152049043,23.4972845145841,-22.9171868515556,3.49,1.61,"null","null","null",87,"2528",5.8,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.6604369089874,"null","null","null","null","null","null","null",36,"4","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"CU","2019-09-28","80.0",-1.76895195195311,6.71947360074662,"Justin Verlander",592230,434378,"null","ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",0,2,2019,0.573591356361692,-1.25200742123454,1.33713939016102,1.39378231909614,"null","null","null",0,5,"Bot","null","null",,,"455139",,"190929_022945",5.68372616784392,-116.159954801299,-2.68072055697074,3.89648174997842,22.2007816430951,-42.8173570858208,3.45,1.63,"null","null","null",78.2,"2948",5.2,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.3028907178178,"null","null","null","null","null","null","null",36,"3","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"FF","2019-09-28","93.1",-1.61493326225105,7.02207643424257,"Justin Verlander",592230,434378,"null","foul",,,,,1,"null","R","L","R","LAA","HOU","S","null","null",0,1,2019,-0.947995754559147,1.77635070163824,-0.814338753927939,3.60620486451161,"null","null","null",0,5,"Bot","null","null",,,"455139",,"190929_022919",3.98295318612145,-135.123573673165,-6.57403934891825,-12.104369746833,31.1626068260313,-9.97737673649839,3.49,1.61,"184","null","null",91.2,"2489",5.4,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.1097089549876,"null","null","null","null","null","null","null",36,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","84.9",-1.67546191271505,6.95100362602622,"Justin Verlander",592230,434378,"null","foul",,,,,3,"null","R","L","R","LAA","HOU","S","null","null",0,0,2019,0.627500467382418,0.586715403080416,0.568273665063146,2.9612006758388,"null","null","null",0,5,"Bot","null","null",,,"455139",,"190929_022840",3.96470691188139,-123.446350953313,-4.08787952403857,5.45513751769177,22.8587409345488,-25.8865054525468,3.49,1.61,"50","null","null",83.4,"2563",5.2,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.3343891697228,"null","null","null","null","null","null","null",36,"1","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.5",-1.50791230345017,6.93751083150342,"Justin Verlander",621493,434378,"strikeout","swinging_strike",,,,,14,"Taylor Ward strikes out swinging.  ","R","R","R","LAA","HOU","S",2,"null",0,2,2019,0.260704985434142,0.417407184662558,1.09340718335767,1.11422355301524,"null","null",607345,2,4,"Bot","null","null",,,"455139",,"190929_020829",5.67531646575295,-127.001330344957,-8.64571550245664,1.68697836134921,24.3363043332598,-26.3055163365156,3.39,1.59,"null","null","null",86.6,"2480",5.7,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.7620008211189,"null","null","0.00",1,0,0,"null",30,"3","Slider",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2019-09-28","95.0",-1.3763643228217,6.90640645414063,"Justin Verlander",621493,434378,"null","foul",,,,,12,"null","R","R","R","LAA","HOU","S","null","null",0,1,2019,-0.703181183657736,1.54496845238144,0.05270888247695,3.57749745589334,"null","null",607345,2,4,"Bot","null","null",,,"455139",,"190929_020804",5.2973117196819,-138.043403218584,-6.46106513307541,-10.1465657571803,31.5668349148318,-11.2911419384043,3.39,1.59,"206","null","null",94.7,"2503",6.2,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.2597197404648,"null","null","null","null","null","null","null",30,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2019-09-28","79.3",-1.63535835159629,6.80778113482541,"Justin Verlander",621493,434378,"null","called_strike",,,,,8,"null","R","R","R","LAA","HOU","S","null","null",0,0,2019,0.543629856986565,-1.0328210225381,0.213595367194028,1.64384123849662,"null","null",607345,2,4,"Bot","null","null",,,"455139",,"190929_020734",2.99070657476655,-115.28138134609,-2.67604164643424,4.03561002438497,20.2865784047039,-40.6650251699057,3.25,1.57,"null","null","null",76.9,"2811",4.5,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",56.0324675662224,"null","null","null","null","null","null","null",30,"1","Curveball",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2019-09-28","80.1",-1.67453085604123,6.80272532179137,"Justin Verlander",665120,434378,"strikeout","swinging_strike_blocked",,,,,14,"Jared Walsh strikes out swinging.  ","R","L","R","LAA","HOU","S",2,"null",2,2,2019,0.459787346380448,-0.800300226597089,0.256444408674211,1.00848279448486,"null","null",607345,1,4,"Bot","null","null",,,"455139",,"190929_020658",3.34456396646579,-116.316593107197,-4.51996072900239,3.33311692499076,21.8317753378604,-38.5130838786582,3.38,1.62,"null","null","null",77.9,"2726",4.8,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",55.6724468452578,"null","null","0.00",1,0,0,"null",29,"5","Curveball",3,0,3,0,0,3,3,0,"Infield shift","Standard"
"SL","2019-09-28","87.7",-1.55421656637859,6.87174086428182,"Justin Verlander",665120,434378,"null","blocked_ball",,,,,14,"null","R","L","R","LAA","HOU","B","null","null",1,2,2019,0.361209647344193,0.814334933340042,0.676450598455055,1.17653928545138,"null","null",607345,1,4,"Bot","null","null",,,"455139",,"190929_020626",4.61534476510938,-127.423003680156,-9.27541468693054,3.11773598585757,21.8858729630577,-21.9666825981176,3.38,1.65,"null","null","null",87.4,"2577",5.8,564813,434378,"455139","493329","514888","649557","608324","502210","545350","543807",54.6665742456595,"null","null","null","null","null","null","null",29,"4","Slider",3,0,3,0,0,3,3,0,"Infield shift","Standard"
